2025-05-29 18:04:31.428 | DEBUG    | product_cart.views:get:180 - GET cliker
2025-05-29 18:04:44.580 | DEBUG    | product_cart.views:post:195 - Post clicer!
2025-05-29 18:04:44.583 | DEBUG    | product_cart.views:post:222 - Изменение счета
2025-05-29 18:04:44.586 | DEBUG    | product_cart.views:get:180 - GET cliker
2025-05-29 18:04:45.078 | DEBUG    | product_cart.views:post:251 - POST purchaser
2025-05-29 18:04:45.083 | DEBUG    | product_cart.views:get:180 - GET cliker
2025-05-29 18:04:45.436 | DEBUG    | product_cart.views:post:269 - POST auto
2025-05-29 18:04:45.441 | DEBUG    | product_cart.views:get:180 - GET cliker
2025-05-29 18:04:45.866 | DEBUG    | product_cart.views:post:251 - POST purchaser
2025-05-29 18:04:45.880 | DEBUG    | product_cart.views:get:180 - GET cliker
2025-05-29 18:04:46.113 | DEBUG    | product_cart.views:post:195 - Post clicer!
2025-05-29 18:04:46.115 | DEBUG    | product_cart.views:post:222 - Изменение счета
2025-05-29 18:04:46.130 | DEBUG    | product_cart.views:get:180 - GET cliker
2025-05-29 18:05:00.958 | DEBUG    | product_cart.views:post:195 - Post clicer!
2025-05-29 18:05:00.961 | DEBUG    | product_cart.views:post:222 - Изменение счета
2025-05-29 18:05:00.964 | DEBUG    | product_cart.views:get:180 - GET cliker
2025-05-29 18:05:01.560 | DEBUG    | product_cart.views:post:251 - POST purchaser
2025-05-29 18:05:01.566 | DEBUG    | product_cart.views:get:180 - GET cliker
2025-05-29 18:05:02.552 | DEBUG    | product_cart.views:post:269 - POST auto
2025-05-29 18:05:02.558 | DEBUG    | product_cart.views:get:180 - GET cliker
